content,score
"LAYANAN SAMPAH PEMERINTAH,Fitur live chat pas buka bilang jaringan kurang bagus,chat berakhir....dongooo udh gw tunggu petugas KRING buat konsultasi ditunggu ga ad jawaban,giliran masuk udh bbrpa kali malah error ,layanan tolol",1
"Ini web deplop nya magang kah? Ga web nya, ga apk nya ga pemerintah nya gajelas semua. Ga mampu bayar pro kah? Web sekelas pemerintah bobroknya minta ampun. Ada web sama apk biar memudahkan malah kek orang tolol muter muter doang. Disuruh taat pajak tapi sistem pajak nya aja ga bener apa yg di harap dari pengelola kaya gini. Apa susahnya sih bayar pro gausa make anak magang terus biar bener tuh web sama apk. Gajelas gajelas, capeee",1
"Apk yang sangat membagongkan, buang2 waktu ngisi data aja ribett bgt yang di tulis apa yang muncul apa. Bikin emosi aja..",1
Mantap,5
Apk PPK Error Truss,1
Gabisa login eror mulu!!,1
Sampah,1
"Apk pemerintahan kok gini amat ya, eror mulu",1
"Woi... Hati hati bos dgn aplikasi ini, kayaknya ini aplikasi ilegal,mau dft berhari hari gak bisa masuk di ulang ulang terus,salah salah data kita bisa di salah gunakan,DTG lgsung k kantor pjk sj bos kalo mau buat NPWP",1
"aplikasi sampah, sampah dan sampah,",1
Tidak bisa log in,1
"Sumpah membagong kan, apk gak fungsi, saya yg tdk mempunyai penghasilan tetap malah kna pajak,terus d kasih surat teguran lgi d suruh byr pajak. mau menhubungi ke pihak lewat apk malah gak fungsi apk nya😶😶",1
"BUKANYA ORANG ATAS PINTER"" YA. BIKIN APLIKASI KEK GINI AJA AMBURADUL. MAU LOGIN AJA RIBETNYA MINTA AMPUN, UDAH RIBET KAGA BISA LOGIN, UDAH RIBET MASIH AJA KEBOBOLAN HACKER.. LAWAK LAWAK !!! . BUKANNYA MEMPERMUDAH. MALAH MEMPERSULIT SULIT. CAPEK CAPEK.",1
"Petugas pajak kota serang kenapa jutek"" ya. Loket 13 yg buka cm 3. Parah perusahaan negara begini",1
"apasih departemen di pemerintahan yg gk bobrok , semua apk dari pemerintah pasti bobrok , susah diakses semua dipersulit sampai offline tetap aja dipersulit",1
Kecewa dengan dirjen pajak uang pajak dari pekerja kasar dikorupsi,1
APLIKASI SAMPAHHH!! GA APLIKASINYA GA INSTITUSINYA SEMUANYA GA GUNA PAYAH SEMUANYA,1
"Aplikasi payah, gak jelas. Seharusnya bisa mempermudah ini makin sulit, tolonglah diperbaiki aplikasinya, biaya negara loh",1
Sering down server,1
Okey,5
Yuk RAMAI RAMAI TAG SRI MULYANI dia yg buat APLIKASI nya TAG RAME RAME Biar BUDEG KUPING NYA,1
Pada WEB. DI LANGKAH KE 2. CAPCHA UDH BENER MASIH AJA KE RELOAD DAN NGULANG BEGITU TERUS. Sedangkan daftar menggunakan PC.,1
"Baru masuk aplikasi langsung disuruh update, pengen berkata kasar tapi ga pengen disangka orgnya kasar. Update ga jelas jalan/engga. Jinglah",1
Aplikasi gilo suruh gisih data sesuai KTP tpi tertulis kelurahan anda salah aplikasi tolol udh ditulis data diri seperti di KTP alamat tpi salah eror tolol,1
untuk login ke aplikasi ribet sekali kirain daftar udh bisa login ke aplikasi ternyata gak .. tidak bisa login terus harus datang ke kpp terdekat untuk mendapatkan efin jadi apa gunanya online ini,1
Saya Download Hanya Ingin Masuk Konten Tretan Muslim Aja😁hehe,5
Ini aplikasi tambah menyusahkan no otp ratusan kali datang tp di verifikasi di suruh ulang melulu,1
"Biasa, seperti aplikasi pemerintah pada umumnya, ngga yang manual ngga online sama ribetnya. Giliran sama pajaknya kita disuruh taat, tapi pelayanannya, bahkan yang online sekalipun tambah bikin makan pikiran sama makan hati. Aplikasi sampah cuman ngabisin anggaran doang.",2
"Kmrn bisa login, skrng gk bisa. Lapor ke kantor kpp pratama, disuruh online, tp app eror. Mau nya gmn?",1
Aplikasi sampah.. Udahlah buat peraturan suka2.. Minimal Pake Apk yg Pro donk.. Ini malah Eror mulu,1
Admin aplikasi lu parah banget,1
Sulit login padahal login di website nya bisa.,1
Aplikasi g guna susah login!!,1
"Aplikasi ga jelas, fitur efin ga bekerja, fitir daftar pengguna juga ga bisa diakses.",1
Mau daftar ko ga bisa mulu....,1
sangat buruk ga berguna mending buang aja dari playstore,1
"Aplikasi SAMPAH!!!! ANJ bener bener bikin orang buang buang waktu, dimana mana orang pake apkikasi biar memudahkan ini malah bikin tambah susah, mau web mau aplikasi bener bener sampah, produk gagal, untuk daftar diminta kode efin, suruh donlot aplikasi udah di donlot daftar ini itu dan udah selesai seenaknya data error, suruh lagi ulang dari awal padahal udah bner semua, gini doang gk bisa! gimana mau maju Indonesia dasar apk sampah!",1
Buruk lemot,1
Aplikasi sampah ga guna,1
"Lupa pasword aja dipersulit, serius gak sih bikin aplikasi. Malah nyusahin masyarakat",1
"Kenapa wajib pajak yg harus memadankan nik sendiri, padahal datanya sdh ada waktu daftar. Payah banget",1
"Ribet, mau bayar pajak aja ribet, apalagi minta duit. pengajuan efin gagal.",1
Udah habisin dana banyak ini hasil nya? Wkakakakak lawak,1
"Ini aplikasi apa sih ini, ga ada solusi dan kemudahan sama sekali. Ntar di bilang kita yang berbelit belit.",1
"Susah login, tolong di perbaiki",1
Sangat membantu saya dalam laporan tahunan,5
bapak/ibu terhormat ini aplikasi gabisa login wei?,1
"Aplikasi lemott, customer service cuma ada bot doang lagi. App pemerintah gada yg beress, apa anggaranya dikorupsi?",1
tidak bisa di gunakan,3
"yaa biasalah si paling nyari selisih, ngebuat aplikasi... ya isinya orang muak semua",1
aplikasinya super eror,1
SAMPAH! Udah webnya gak fungsi. Mau login saja susah. Kolom username gak bisa diisi. Begitu bisa diisi salah mulu padahal username & password udah benar&tersimpan otomatis di chrome. Disuruh memadankan nik&npwp. Login aja gak bisa. Abis download aplikasi malah suruh update. Kenapa gak sekalian yg didownload versi terbaru? Muter² doang! Dirjen pajak tugasnya ngapain sih selain malak? Bikin web/apk nyusahin gak fungsi. Ini di web ada kolom kritik saran aja tombol kirimnya gak bisa??? Anti kritik!,1
Bukannya mempermudah malah mempersulit,1
Aplikasi kurang bermutu. Mau lapor pajak aja susah.,1
"Aplikasi gak jelas banget, udah daftar via web trus mau login d aplikasi gak bisa, salah semua padahal baru buat gak mungkin ada yang salah",1
Mau bayar pajak aja ribet ini......!,1
Sangat baik.,5
Sangat membantu,5
Ribet ah mau daftar saja mesti ini itu tidak dibuat simpel,1
"bolak balik mau pasfoto keluar sendiri trus ini sebenernya aplikasi mau mempermudah atau mempersulit hadeh. ktanya bisa online mau minta efin ajah susahnya minta maaf, harus datang langsung lh ini itulah bukanya semakin mudah mlh semakin syulit",1
"App sekelas punya pemerintah cuma bikin emosi penggunanya, error ,ga jelas, apa indonesia kekurangan orang pintar untuk bikin app yg bagus?",1
"Aplikasi menyukitkan tidak berguna,emding tidak usah pajak sekalian",1
"Saya sudah download dan sudah dihapus lagi, gblk",1
Bikin malu ini aplikasi,1
"mohon segera di update min , karena aplikasi nya eror mulu mau login selalu eror , padahal data sudah benar.",2
Bagus dan sangat membantu,5
"Aplikasi apaan ini, cape cape isi data, ujung ujungnya eror,kalau bikin aplikasi yang niat bos, kalau gini ma ga usah bayar pajak nyusahin, ribet",1
Aplikasi gk guna mau daftar aja ribet amat,1
Sampah,1
Mengapa saat kita mengisi form untuk alamat email hilang terus dan huruf menjadi besar,1
Setiap mau masukin data untuk mengambil efin selalu keluar aplikasinya. Percuma di install.,1
Disiplin membayar pajak cermin budaya bangsa yang hebat,5
Akalau ngak bagia hapus lagi bos,4
Apk ghoblokk,1
"kantor sudah bayarin Pajak, kok karyawan suruh lapor dan Ribet, gak lapor di denda. AKAL NYA DIMANA ???? PEKERJAAN PALING HARAM ITU PEMUNGUT PAJAK. saya sarankan buat muslim , segera tobat dan berhenti memungut PAJAK. dari orang kecil, gaji dibawah umr masih di palak pajak, suruh lapor, gak lapor didenda. otak mana otak,",1
"aplikasinya hanya merepotkan, org djb gaji sudah selangit tapi pelayanannya buruk, aplikasi yg harusnya mempermudah malah berbelit belit...",1
Mau masuk apk nya aja susah banget mental mental pie iki nyusah ke,1
Aplikasi Tolollll. Masukin Chapta Udh bener katanya salahhh.,1
nggak ngerti bgt,1
Mau bikin nomor efin gagal terus :(,1
"Mentok d tahap ke 2 terus mau di apain ya ga bisa,emang lawak negara konoha pajak aza d persulit.lawakkkkkkk",1
"Aplikasi eror npwp dan sandi sdh betul pun ttp tidak bisa log in....perbaiki lagi coba .jangan kecewakan orang,!!!",1
"Jangan di download, percuma buang² waktu buang² kuota, aplikasi ga jelas, live chatnya juga ga jalan, padahal mau urus² buat npwp16",1
Good apk,5
Masih di uji coba,2
Aplikasi bikin nga liyer keun daftar langkah ke 2 susah msukan kode otp blik lg blik lg malah plz habis daftar gak bisa bisa,4
Ok thanks,5
"Aplikasi Apaan, orangmau daftar aja payah. apalagi login. ya gini kebanyakan makan duit...",1
"Susah amat mau bikin , verifikasi email gaada mulu",1
"daftar untuk log susah banget, apa harus ke kantor cabang terdekat",2
M-pajak sangat bgus aplikasinya TDK rumit,5
Dari aplikasi ini kita tahu bahwa membayar pajak itu tidak semudah mengkorupsi uang rakyat,1
coba buka aplikasi games Pow .. rating lebih tinggi 4.4 / zuma .. uwow ..,1
aplikasi kaga guna,1
"Gak guna ribet dan payah yang sangat konyol, verifikasi data aja gagal terus",1
apk lemot klok developer ga niat bikin sklian ga ush bikin ruggi gw donload,1
"Begini kalo aplikasi hanya buat proyek pendapatan, birokrasinya rumit, ribet, pelayanan, tidak mudah dimengerti masyarakatnya, buat login aja susah",1
"Apk lawak!! Ujung-ujungnya lapor spt lewat website juga, trus ni apk buat apa ajg",1
"*pastikan email anda adalah email yang selalu anda gunakan* ku masukin email ku*email yg anda gunakan sudah pernah terdaftar*. Kapan aku daftarnya? Pas di coba pake email lama ku berhasil masuk sampe tahap 3. LAMA BANGET! Di tungguin entah berapa jam, malah balik lagi ke awal. Dan sekarang gak bisa masuk!",1
Apasi... Gk bisa login effin udh bener juga,1
Sering restart gak bis masuk ke akun yang sudah ada,1
Saya sudah pakai 2 akun tapi tidak bisa daftar,1
Mantap,5
Pelayanan Payah . gw udah selese daftar NPWP tahap dua dan dan setelah itu ada notif chack Link aktifasi di email tapi pesannya gk muncul2 di email. kan T...,1
"Sekelas Kantor pajak buat website dan aplikasi kalah dengan kominfo dan website seperti Prakerja yang mudah diakses!!!Ini tuh mau daftar Npwp dah via email nunggu gak diproses,masyarakat dipersulit bayar pajak suruh rutin, Memang terbaik",1
Apk gak guna websitenya pun sama. Lebih baik ke kantor pajak nya aja kalo bikin npwp emang sampah gak guna buat nonton bokep aja tuh Situs web,1
Percuma ada aplikasi ujung-ujungnya disuruh ke kantor pajak juga. Payahh,1
"Aplikasi belum bisa di gunakan, untuk daftar data salah terus. Aplikasi belum sepenuhnya berhasil jangan di luncurkan min",1
aplikasi tidak berguna sebelumnya sudah mendaftar tidak ada email balasan mencoba mendaftar lagi kartu provider harus axis menyusahkan orang aja kalau ga bisa buat aplikasi mending tidak usah,1
Buset dah...,1
Sgat bantu,5
"ga jelas aplikasinya, data data udah benar gabisa login mau aktivasi butuh EFIN, mau dapetin EFIN disuruh login, gajelas banget ini web sama apknya, anggaran banyak buat apa?????",1
"website buruk,aplikasi buruk 👎",1
Payah,1
"Aplikasi gajelas, semua dibuat ribet dan susah.",1
mantap,5
Aplikasi gak jelas gak respon ketika dibuka,1
Payah aplikasi nya gagal terus mau minta kode efin aja,1
"Elek tenan. cuma menghabiskan pulsa,gak masuk-masuk",1
Web payah.. kebanyakan d korupsi pasti uang pajaknyaa.. jadi gak pernah ada perbaikan d websitenya.. karena uangnya buat BO Lucunya negeriku.. cuman bisa ngasih kebijakan tanpa solusi sama sekali.. pemerintah itu yg mempersulit dan mempermiskin masyarakatnya sendiri,1
"Aplikasi Lolot, orang baru berhasil ndaftar malah keblokir. Blok!!!",1
Gila wajib lapor pajak dan bayar pajak aplikasi sekelas pemerintah kok jelek forclose2 gak bisa dibuka buang2 duit bikin aplikasi abal2,1
aplikasi insitusi kelas negara tapi peforma aplikasi scam. kerja bagus!!,1
"Sangat buruk selalu diulang terus, kesalahan dalam penulisan kelurahan dan kota terus menerus.dari pada pusing goodby",1
Ter buruk,1
Kecewa sih kenapa kalau di buat online tapi harus ke kpp kabupaten juga. Hmm,2
Ok dl aja,5
Mantap,4
"Codingan eror parah , udah sesuai nik masih aja di bilang salah ,",1
"Tolong Aplikasi diperbaiki lagi, ini sudah tahun 2024 semua serba modern harusnya diupgrade lebih baik agar tidak macet dan lag, Aplikasi fungsi seharusnya untuk mempermudah bukan untuk mempersulit",1
Saya mencoba mendaftar NPWP tapi request otp tidak ada dikirim,2
Semoga selalu membantu kami,5
"dikasi bintang 1 juga ga pantes, yang bener -1000000000000/5",1
Aplikasi payah otp aja ngga di kirim kirim,1
"aplikasi menu kasir yang saya buat lebih bisa diandalkan dari pada sampah ini, mau bayar pajak aja dipersulit padahal buat kenyangin perut kalian sendiri",2
Ok,5
Masa ga bisa daftar kocak,1
"Saya lupa password, klik lupa password ga bisa bisa, kaya ga aktif gitu...sampe di hapus instal ulang, tetep ga bisa",1
"Gue ulang berkali kali tutorial masih aja eror gak guna emang ini apk dan situsnya pada eror gak niat bantu masyarakat, miris sekali dinegeri wakanda ini ,situs pemerintah pada down tapi situs slot aman2 aja tuh lancar jaya😂",5
"Orang mau nyari NPWP dan cuma tanya nomer EFIN aja susahnya minta ampun, cuma mau bayar pajak aja di persulit. Ndeso bgt sistemnya sumpah!!! Serba online tp di suruh datang ke KKP, Saya yakin birokrasi di KKP pasti lama bgt. Gitu gaji org pajak tinggi tinggi banget, kek alun koruptor eselon III dirjen pajak bisa beli ini beli itu. Sistem tuh perbaiki, gak cuma gaji aja yang gede",1
gagal login terus,2
"Saya ini cuma buruh, yang secara tidak langsung di paksa bikin NPWP. Jika prosesnya mudah sih mungkin g masalah.",1
Aplikasi informatif dan mudah dipahami,5
"Kenapa mau bayar pajak aja di bikin ribet. Kemaren saya beli motor bekas, di STNK nya ada fotocopy pemilik nya. Tpi sang pemilik udah meninggal,jadi di jual dengan istrinya. Lalu saya ke kantor pajak untuk bayar pajak kendaraan, lah dia minta orang nya datang. Udah saya bilang orng nya udah meninggal. Ini ada Poto copy KTP nya. Trus orang pajak nya tak mau proses. Heran betul sama orang pajak, kita ada niat mau bayar malah tak bisa. Ya udah saya biarin aja tak bayar pajak sampai sekarang.",1
"Apk gk jelas susah masuk, begitu masuk isi data tiba tiba eror,di ulang begitu terus begitu masuk gagal terus",1
Angel angel,1
"Tidak bisa login, padahal semua datanya benar.",1
Pembuat aplikasi nya kurang bagus,1
Busuk,1
"kenapa ya,saat masuk akun di web ereg.pajak.go.id npwp/nik dan pasword bener dan bisa login, sedangkan di apk M-Pajak npwp/pasword salah??",1
"Mohon untuk di perbaiki aplikasinya, masak mau minta EFIN selalu gagal padahal data sudah benar",2
"Aplkasi b2 minta otp gak muncul, bantuan nye sengaja di erorin",1
Lah baru aja selesai bikin. Masa mau login susah amat data tidak ditemukan. Aplikasi dajjal. Ngabisin duit rakyat loh,1
"Aplikasi ngontol,,,situs nya eror lemot mending situs bokep tolol",1
mantap,5
Nggk guna,1
aplikasi tidak jelas. sudah isi pulsa untuk daftar verifikasi pendaftaran tapi tidak ada kelanjutannya. gimana ini min?,1
Ini aplikasi yg gue instal versi terbaru kan? Tapi kenapa pas dibuka minta update pembaruan jink!?,1
"TIDAK BISA MASUK MAU DI APLIKASI ATAU PUN DI GOOGLE CROME SELALU GAGAL MULU!!,KATANYA DATA GAK ADA,PADAHAL KALU DICEK BISA MUNCUL!!",1
Aplikasi yg sulit Login aja susah 👻,1
"Baru juga download & install, Cuma liat muter2 doang kwkwk",1
versi terbaru mempersulit pengguna untuk lapor perpajakan tlg di kembalikan saja ke versi lama itu lebih mudah karna menu yg di perlukan muncul semua,3
Sudah membuat kode billing. Namun ketika akna membayar. Kode billing tidak ditemukan.,1
Belum dipake dah minta update aplikasi tolol pemerintah dongo semua tua bangka tolol,1
Susah masukkan kode captcha Abis pulsa gua karna refresh hp minta kirim kode validasi,1
Ini apakah bisa diakomodir jika lupa efin?,5
Mau daftar saja susah 🤦,1
"Aplikasi payah. Website payah. Query validasi data juga payah. Scrum master-nya tolong totalitas dong. Bisa2nya NIK & KK dibilang gak terdaftar. Trus kita bisa bikin NPWP dan terdaftar di Disdukcapil gimana ceritanya? 🤦🏻‍♀️ Udah update, minta update. Ditungguin, malah splash screen dan blank. Cape pengguna dibuatmu. 🤦🏻‍♀️",1
Nyari domisili kurang lengkap masa iya domisili saya tinggal kaga ada apk busuk,1
"Customer service payahh, masa iya cuma salah email dan pasword bisa keblokir akun... Di suruh daftar pake email baru lagii. Nanti keblokir lagi karna salah pasword dan email... Teruss gitu sampe 1000 email",1
Perentiah 4njing habisian duit negara buat aplikasi kayak t4ik,1
hapus aja ini aplikasi dari play store,1
Nyusahin,1
Padahal aplikasinya diawasi negara kenapa kualitasnya seperti ini?,1
aplikasi kaga berguna pulsa udah abis 5000 kaga ke daftar² buat apa ada aplikasi ini kalo kaga berguna,1
apinya error ga bisa di buka,1
Top..aplikasinya,4
buruk sekali.. eror.. live chat pun gk bsa,1
Membantu,5
Sesuai data,5
Percumah kita mau taat pajak aja susah birokrasi ribet aplikasi lemot buat pengurusan gimana negara mau makmur,1
"Otp sangat lama, waktu sudah masuk proses verifikasi gagal. Verif efin sudah berkali-kali dicoba tetap gagal verifikasi. Ujung-ujungnya ke kpp juga ini. Buat apa aplikasi dibuat tapi tidak untuk mempermudah",1
Ok,5
verifikasi sms ga bisa apa ga punya pulsa???,1
"Pagi tadi ke kantor pajak buat ngurus aktivasi akun, setelah selesai nanya ke CS nya soal login aplikasi ini dan CS nya bilang ""kita"" gak ada aplikasi kaya gitu pak, ""kita"" base nya pakai website, jadi mending uninstal aja. Baca2 komenan review juga mayoritas negatif, takut input data2 malah disalahgunakan",1
Gak guna,1
aplikasi paling gk berguna,1
sengaja download biar kasi bintang 1,1
"Aplikasi g guna,, kyk kantornya",1
"Web nya aja ancur ancuran bikin aplikasi, orang orang Pajak tu ngapain aja si, sampe kena hujat sana sini, benerin dulu web nya, bikin app mah buat pantes pantes doang,dikira jadi keliatan keren apa gimana web sama app nya ga bisa di pake,",1
"Baru juga download. Mencoba daftar NPWP baru, tetapi tidak ada email yang masuk. Baru langkah awal sudah buruk 👎🏿",1
"Baru diinstall, langsung nongol pop up apk harus diupdate dan apk gak bisa digunakan",1
"Fitur yang sangat buruk, tidak di aplikasi atau pun di website semua ny buruk!👎",1
Bagus,5
"Ah, tolol anying",1
APK BUSUK MAU LOGIN AJA RIBET,1
Aplikasi gak guna ferifikasi data muter2 gak jelas minta efin pun susah gimana mau taat pajak kalau semua dibuat susah.,1
Ga becus,1
Gak guna ajg lapor spt ttp lewat web,1
"Datang ke kantor pajak langsung malah di suruh daftar online, giliran daftar online malah ribet. Terlalu banyak buang waktu",1
Servernya lah tolong diurus,1
Buat online tp efinnya disuruh dtang langsung sama aja nggk online duh jaman dah online tp pelayanan kek jaman dulu,1
Good,5
Ga bisa di buka,1
Sang membantu,5
Aplikasi ini sangat tidak membantu sama sekali,1
"Perpindahan antar menu saat di klik memerlukan setidaknya 2-3 detik untuk ditampilkan, harusnya aplikasi ini gk lolos ujicoba pas mau launching,melakukan pendaftaran / lainnya kenapa harus pindah ke via website? Terus fungsi aplikasi ini buat apaan? Buat di putar, di jilat, di bakar kantor pajaknya? Itu dana gede kemanain? Bukannya upgrade kualitas manusia, malah di pake beli Rubicon, nyewa LC, nikah lagi sama LC,elu nagih pajak puluhan tahun dan jutaan warga, masa bikin aplikasi model Majapahit",5
Aplikasi tolol,1
"Aplikasi Negara Dibiayai APBN kok sering Eror/ Bug Malu maluin 😂 Sesuai kualitas Pejabatnya😂 Contoh tu Aplikasi PLN mobile Bagus and User Friendly, lah Ini Urusan Pendapatan Negara secara Global Makro All sectors malah Eror an😒",2
"Terima kasih sekali sangat membantu ,live chat nya juga cepat aplikasi berjalan lancar. Sebagai perantau yang pertama kali juga lupa efin badan bingung banget karena beda sama lupa efin pribadi dengan live chat sangat terbantu makasih kak satria walaupun aku bingung banget tapi Alhamdulillah muncul emil padahal live chat nya keburu berakhir. Makasih pokonya sehat selalu pegawai dpj 🙏🏻",5
Apk macam apa ini! Login di website bisa tapi login di apk gak bisa!!,1
System konyol tidak ada satupun bintang 5 .,1
Mantap,5
developer nya keliatan banget ni aplikasi ..sengaja mempersulit orang yg mw daftar ...stelah isi data mw ke selanjutnya eh tombol nya di umpetin ...PEMERINTAHAN EMANG SELALU BEGITU ..,1
Mantap,5
Login sering bermasalah. Aplikasi ampas.,1
"Pengiriman kode otp ketika melakukan pengajuan pupa e-fin sangat lama baik melalui sms maupun e-mail, padahal pengiriman otp melalui sms dikenakan tarif.",1
Bagus..pelayan cepat dan sangat membantu..memuaskan..good job,5
Mau login aja susah wkwk,1
"Saya daftar npwp Krn perangkat desa kantor lurah yg nyuruh, Krna d iming2 bantuan pokir dari caleg Jadi saya susah dapat bantuan pkh, Gmna cara nya ini pak/ibu, mohon bantuannya?",2
Sangat bagus,5
TELKOMSEL ROLI,5
Aplikasi sulit di pakai mau daftar aja susah...lewat formulir loading lama sekali 1 jam lebih Tolong webnya di perbarui,1
gak jelas,1
Sering keluar sendiri aplikasi nya jelek bngt,1
Minta bantuan masalah EFIN. Malah langsung kabur CS nya. Niat mau bayar pajak tapi GK dikasih EFIN. Lucu banget,1
Hahaha aplikasi kepala ...... sudah jelas terdaftar giliran login nggak bisa,1
Mbaknya SABAR Banget.. TERIMA KASIH.,5
kocak ribet amat bikin NPWP jugaa nunggu email kaga muncul muncul,1
bnyk yg ga bs di klik pilihan nya. lemot,1
"""Sayangnya M-Pajak telah berhenti"" melulu..",1
Setau saya blm ada menu pelaporan SPT nya ya mohon tambah kan dong menu nya biar lebih kumplit dan aplikasi nya perbaiki lemot banget,1
"Kebanyakn nipu rakyat,,.. apl gk guna, keliatan Apl hasil uang korupsi.",1
"Aplikasi selalu force close saat ingin mengetahui EFIN, pada saat swa foto. Tolong diperbaiki",3
"1,a y d, lagi 😁🥲😴",4
Mantap,4
"Uangnya banyak, tapi aplikasinya jelek",1
"Mau daftar efin lewat online tapi ngga bisa.. ga bisa verifikasi otp nyaa.. udh bbrpa hari dicoba ttep ga bisa..pdhl udh d cobain pake email yg sama tapi kode otp ngga muncul, udh dicoba pake no hp juga sama kode otp nya gaada masuk..",1
"habis pulsa sibuk sama capcha,, mw daftar aja ribet gini, peraturan di kasi ribet, babi kering",1
kadang lemot,5
mantap 👍,5
Good,5
Aplikasi tidak bisa di gunakan mau masuk saja sudah tidak bisa Salah terus ketika mau lupa password juga tidak bisa 🥱🥱🥱🥱,1
Terbaik,5
Tingkatka aplikasinya dan permudakan pendaptaranyany.,5
Bagus,4
TIDAK REKOMENDASI,1
👍👌,5
"ribet,, baru install suruh update dah nunggu 1 jam gx selesai2 updatenya,, mana maksa banget pengupdatetanya , mana gak bisa di kembalikan, bukan mempermudah malah mempersulit,,",1
"Aplikasi gk jelas,bikin akun cuma muter² aja",1
Ksh rating 1 ajj Pelayanan pemerintah kok gni,1
Duit buat korupsi,1
Mau daftar npwp saja susah. Lewat e-reg website gak bisa lewat aplikasi juga gak bisa. Masak kualitas pendaftaran online sekelas dirjen pajak cuman sebatas ecek2. Susah diakses seperti ini. Mengecewakan.,1
"Tiap mau masuk selalu harus login terus pada sebelum nya sudah login dan gak pernah melakukan log out, ribet jadinya",1
Saya masih sulit untuk menggunakan aplikasi ini,1
Jngn buat malu Indonesia.... Segalanya di persusah... Sudh di ikutin sesuai arahnya namun ad aj hal yg gk bisa...,1
Error,5
"Beginilah kalau aplikasi plat merah. Boro2 membantu, masuk aplikasi aja susahnye minta ampun. Pajak ooh pajak, kami tuh mau membayar upeti harusnya bisa dipermudah.",1
"Gaji UMR potongan pajak Internasional, sehat???",1
Bagus,5
Ok,5
sangat bermanfaat,5
Kartu atas saya koc belum ada juga ya pak/bu Kenapa?,1
Gak jelas,1
"Harus sabar, banyak banyak lihat tutorial, alhamdulillah selesai juga pembuatan via online. ""Nikmat Tuhan yg manakah yg kau dustakan""",5
Gabisa dibuka,1
tidak lama louding,5
Aplikasi sampah,4
Sering kembali ke menu asal padahal sudah mengisi data begitu banyak,5
gak bisa d buka,1
kentut,1
Susah aja,1
"Gak bisa lapor, di klik aplikasinya diem aja",1
Sebenarnya tidak layak dikasih bintang. Online seharusnya mempermudah. Aplikasi malah eror terus,1
"Pungutan Uang negara sebanyak itu, masa untuk kembangkan aplikasi seperti ini saja tidak bisa, padahal sangat membantu untuk kita lapor dimanapun dan kapanpun",1
Aplikasi pemerintah dengan dana pembuatan yg pakai dana besar tp kualitasnya kok gini amat 😮‍💨,1
"Minta kode Verifikasi sampai botak nungguin gak masuk²,, padahal nomor yg didaftarkan masih aktif 👎👎👎",1
"Aplikasi sekelas punya pemerintah tpi mau lapor pajak tdk bisa,, pilihan menu nya tidak jelasss,,e mengherankan",1
aplikasi apa ini? sampah 🤣,1
Yang digadang gadang setiap baliho efiling ternyata zonk wkwkwwk,1
Suruh taat pajak tp aplikasi sulit,1
