text_clean,label
ok,Positif
daftar kocak,Negatif
lupa password klik lupa password kayak aktif gitusampe hapus instal ulang,Negatif
gue ulang kali kali tutorial eror apk situs eror niat bantu masyarakat miris negeri wakanda situs perintah down situs slot aman2 tuh lancar jaya,Positif
orang cari npwp nomer efin susah ampun bayar pajak sulit ndeso banget sistem sumpah serba online suruh kkp birokrasi kkp banget gaji orang pajak banget kayak alun koruptor eselon iii dirjen pajak beli beli sistem tuh baik gaji gede,Negatif
gagal login,Negatif
buruh langsung paksa bikin npwp proses mudah sih,Negatif
aplikasi informatif mudah paham,Positif
bayar pajak bikin ribet kemarin beli motor bekas stnk nya fotocopy milik nya sang milik meninggaljadi jual istri kantor pajak bayar pajak kendara orang nya bilang orang nya tinggal poto copy ktp nya orang pajak nya proses heran orang pajak niat bayar ya biar bayar pajak,Negatif
apk susah masuk masuk isi data erordi ulang masuk gagal,Negatif
angel angel,Negatif
login data,Negatif
buat aplikasi nya bagus,Negatif
busuk,Negatif
yasaat masuk akun web eregpajakgoid npwpnik pasword login apk mpajak npwppasword salah,Negatif
mohon baik aplikasi masak efin gagal data,Negatif
aplkasi dua otp muncul bantu nye sengaja erorin,Negatif
selesai bikin login susah data temu aplikasi dajjal ngabisin duit rakyat loh,Negatif
aplikasi ngontolsitus nya eror lot mending situs bokep tolol,Negatif
mantap,Positif
,Negatif
aplikasi isi pulsa daftar verifikasi daftar lanjut min,Negatif
aplikasi gue instal versi baru pas buka update baru jink,Negatif
masuk aplikasi google crome gagal mulukatanya data adapadahal cek muncul,Negatif
aplikasi sulit login susah,Negatif
download install lihat muter2 doang kwkwk,Negatif
versi baru sulit guna lapor paja tolong kembali versi mudah menu perlu muncul,Positif
kode billing akna bayar kode billing temu,Negatif
pakai deh update aplikasi tolol perintah dongo tua bangka tolol,Negatif
susah masuk kode captcha habis pulsa gua refresh hp kirim kode validasi,Negatif
diakomodir lupa efin,Positif
daftar susah,Negatif
aplikasi payah website payah query validasi data payah scrum master tolong totalitas bisa2nya nik kakak bilang daftar bikin npwp daftar disdukcapil cerita update update ditungguin splash screen blank capek guna buat,Negatif
cari domisili lengkap iya domisili tinggal kagak apk busuk,Negatif
customer service payah iya salah email pasword blokir akun suruh daftar pakai email blokir salah pasword email 1000 email,Negatif
perentiah 4njing habisian duit negara aplikasi kayak t4ik,Negatif
hapus aplikasi play store,Negatif
susah,Negatif
aplikasi awas negara kualitas,Negatif
aplikasi kagak guna pulsa habis 5000 kagak daftar aplikasi kalo kagak guna,Negatif
api error buka,Negatif
topaplikasinya,Positif
buruk eror live chat,Negatif
bantu,Positif
sesuai data,Positif
percumah taat pajak susah birokrasi ribet aplikasi lot urus negara makmur,Negatif
otp masuk proses verifikasi gagal verif efin berkalikali coba gagal verifikasi ujungujungnya kpp aplikasi mudah,Negatif
ok,Positif
verifikasi sms pulsa,Negatif
pagi kantor pajak urus aktivasi akun selesai cs nya login aplikasi cs nya bilang aplikasi kayak base nya pakai website mending uninstal baca komentar review mayoritas negatif takut input data2 disalahgunakan,Negatif
,Negatif
aplikasi guna,Negatif
sengaja download biar kasih bintang 1,Negatif
aplikasi kayak kantor,Negatif
web nya hancur ancuran bikin aplikasi orang orang pajak kapai sih kena hujat benerin web nya bikin app mah doangdikira keren web app nya pakai,Negatif
download coba daftar npwp email masuk langkah buruk,Negatif
diinstall langsung nongol pop up apk diupdate apk,Negatif
fitur buruk aplikasi website nya buruk,Negatif
bagus,Positif
ah tolol anying,Negatif
apk busuk login ribet,Negatif
aplikasi ferifikasi data muter2 efin susah taat pajak susah,Negatif
becus,Negatif
ajg lapor web,Negatif
kantor pajak langsung suruh daftar online gilir daftar online ribet buang,Negatif
servernya tolong urus,Negatif
online efinnya suruh dtang langsung online duh jaman deh online layan kayak jaman,Negatif
good,Positif
buka,Negatif
sang bantu,Positif
aplikasi bantu,Negatif
pindah menu klik 23 detik tampil aplikasi lolos ujicoba pas launchingmelakukan daftar pindah via website fungsi aplikasi putar jilat bakar kantor pajak dana gede kemanain upgrade kualitas manusia pakai beli rubicon nyewa lc nikah lcelu nagih pajak puluh juta warga bikin aplikasi model majapahit,Positif
aplikasi tolol,Negatif
aplikasi negara biaya apbn eror bug malu maluin sesuai kualitas jabat contoh aplikasi pln mobile bagus and user friendly urus dapat negara global makro all sectors eror an,Negatif
terima kasih bantu live chat nya cepat aplikasi jalan lancar rantau kali lupa efin badan bingung banget beda lupa efin pribadi live chat bantu terima kasih kak satria bingung banget alhamdulillah muncul emil live chat nya keburu terima kasih pokok sehat pegawai dpj,Positif
apk login website login apk,Negatif
system konyol satu bintang 5,Negatif
mantap,Positif
developer nya banget aplikasi sengaja sulit orang daftar isi data eh tombol nya umpetin perintah,Negatif
mantap,Positif
login masalah aplikasi ampas,Negatif
kirim kode otp aju pupa efin sms email kirim otp sms kena tarif,Negatif
baguspelayan cepat membantumemuaskangood job,Positif
login susah wkwk,Negatif
daftar npwp perangkat desa kantor lurah nyuruh iming2 bantu pokir caleg susah bantu pkh nya pakibu mohon bantu,Negatif
bagus,Positif
telkomsel rol,Positif
aplikasi sulit pakai daftar susahlewat formulir loading 1 jam tolong webnya baru,Negatif
,Negatif
aplikasi nya jelek banget,Negatif
bantu efin langsung kabur cs nya niat bayar pajak kasih efin lucu banget,Negatif
hahaha aplikasi kepala daftar gilir login,Negatif
mbak sabar banget terima kasih,Positif
kocak ribet bikin npwp tunggu email kagak muncul muncul,Negatif
klik pilih nya lot,Negatif
sayang mpajak henti melulu,Negatif
tau menu lapor nya ya mohon menu nya biar kumplit aplikasi nya baik lot banget,Negatif
kebanyakn nipu rakyat apl apl hasil uang korupsi,Negatif
aplikasi force close efin swa foto tolong baik,Positif
1a ya,Positif
mantap,Positif
uang aplikasi jelek,Negatif
daftar efin online verifikasi otp nya coba bisapdhl coba pakai email kode otp muncul coba pakai no hp kode otp nya enggak ada masuk,Negatif
habis pulsa sibuk capcha daftar ribet atur kasih ribet babi kering,Negatif
kadang lot,Positif
mantap,Positif
good,Positif
aplikasi masuk salah lupa password,Negatif
baik,Positif
tingkatka aplikasi muda pendaptaranyany,Positif
bagus,Positif
rekomendasi,Negatif
,Positif
ribet install suruh update deh tunggu 1 jam selesai2 updatenya maksa banget pengupdatetanya kembali mudah sulit,Negatif
aplikasi jelasbikin akun muter,Negatif
kasih rating 1 layan perintah,Negatif
duit korupsi,Negatif
daftar npwp susah ereg website aplikasi masak kualitas daftar online kelas dirjen pajak cuman batas ecek2 susah akses kecewa,Negatif
masuk login nya login log out ribet,Negatif
sulit aplikasi,Negatif
malu indonesia susah ikut sesuai arah,Negatif
error,Positif
aplikasi plat merah boro-boro bantu masuk aplikasi susahnye ampun pajak oh pajak tuh bayar upeti mudah,Negatif
gaji umr potong pajak internasional sehat,Negatif
bagus,Positif
ok,Positif
manfaat,Positif
kartu koc ya pakbu,Negatif
,Negatif
sabar lihat tutorial alhamdulillah selesai buat via online nikmat tuhan mana kau dusta,Positif
enggak bisa buka,Negatif
louding,Positif
aplikasi sampah,Positif
menu isi data,Positif
buka,Negatif
kentut,Negatif
susah,Negatif
lapor klik aplikasi diam,Negatif
layak kasih bintang online mudah aplikasi eror,Negatif
pungut uang negara kembang aplikasi bantu lapor mana,Negatif
aplikasi perintah dana buat pakai dana kualitas,Negatif
kode verifikasi botak tunggu masuk nomor daftar aktif,Negatif
aplikasi kelas perintah lapor pajak pilih menu nya jelassse heran,Negatif
aplikasi sampah,Negatif
gadang gadang baliho efiling zonk wkwkwwk,Negatif
suruh taat pajak aplikasi sulit,Negatif
tolong link uregpajakgoid dibenerin pengin bikin npwp susah banget tinggal ngisi data doang sebentar langsung bikin pulsa gue habis goceng bikin doang orang pengin bayar pajak sulit kerja foya nyantai korupsi uang rakyat negara pribadi kalo fasilitas negara rakyat kayak negara maju hancurrr,Negatif
efinpas verifikasi wajahaplikasi langsung closejadi sesal npwpbukannya mudah ribet banget,Negatif
bantu aplikasi,Positif
ribet banget muter tunjuk kerjasama google email lupa efin kirim email mailnesia lupa email suruh masuk efin efinnya,Negatif
harap nya lupa efin aju berkalikali masuk efin nya email,Negatif
the best,Positif
enggak jelas,Negatif
aplikasi jelek ribet,Negatif
developer manut babu pimpin aplikasi urus,Negatif
ok,Positif
kualitas nya buruk,Negatif
ya aplikasi situs kelas instansi negara urus rentan kena hack situs webnya responsif dikit dikit relaunch error deh,Negatif
aplikasi perintah masyarakat lhotapi buka aplikasi ecek ecek parah sumpah,Negatif
selesai upload foto selalu eror lurah nama lurah salah persis ktp bayar pajak aplikasi model live chat nya solusi,Negatif
aplikasi sampah digital konvensionalbukannya mudah bikin sengsara lemoterror teruscoba error lagipadahal data fix fc,Negatif
aplikasi lot akun susah masuk verifikasi ulang gagal mulu orang lapor ribet mudah bikin akun sosmed akun pajak aplikasi heran,Negatif
apknya kalah apk warung masuk kode otp efin 6x gagal coba,Negatif
urus lupa efin ribet pakai foto kalo nagih pajak getol layan sulit,Negatif
aplikasi ulang kali isi data gagal,Negatif
ok,Positif
kelas aplikas perintah loh cacat banget bukanudah eror mau terima uang doang enggak ada kualitas,Negatif
mantap,Positif
susah login sampe2 kantor cabang cs bantu login coba login,Negatif
jelek banget,Negatif
mgurus pajak susah tinggal terima uang efin efin kantor nian nganggur sulitt,Negatif
masuk suruh updetmala muter2 sih inipayahhhhhhh,Negatif
apk susah buka nya auto uninstall,Negatif
pajak bayar suruh laporantrus guna bayar pajak,Negatif
aplikasi sampah susah kagak kirim ulang efin lapor,Negatif
lapor nya menu nya,Negatif
bikin aplikasi sih dana nya usaha swasta pinjol aplikasi nya bagus kelas negara aplikasi hancur karuan kalah aplikasi pinjol haha,Negatif
download langsung kecewa uang pajak masyarakat ya aplikasi receh bagus,Negatif
kecewa aing teh maha aplikasi suka erorpadahal bayar pajak potong pajakmasa report susah nya ampun,Negatif
donlod app wa tipu an djp online ya,Negatif
versi web komplit versi mobil kecewa fitur,Negatif
aplikasi bokep ketimbang apk resmi konyol teknis ajar dipaksain apk mampu mumpuni bejar nak ahli negara malu malu masak apk kelas negara kalah apk bokep,Negatif
aplikasi cacat dukung suruh lapor pajak sulit ribet kota,Negatif
aplikasi negara bobrok heran,Negatif
ribet efisien lot mohon mudah,Negatif
buruk sulit,Negatif
salah aplikasi guna perintah live chat tlpon nomer 1500200,Negatif
aplikasi susah lola bedddd anjir baikin aplikasi hermannnnnnn,Negatif
ribettttt,Negatif
aplikasi jelek banget kualitas,Negatif
aplikasi uselesss duit pajak rakyat tolong pakai hal manfaat kayak pajak dibenerin bayar sulit,Negatif
critical eror occurred ayo masuk kerja pajak susah seleksi aplikasi enggak bisa pakai kaya hadeh,Negatif
aplikasi error mudah sulit,Negatif
banget aplikasi,Negatif
jelek banget aplikasi tuntut cepat lapor pajak aplikasi pikir cepat selesai aplikasi jelek,Negatif
aplikasi benarbenar pusing ulang kali gagal tahap,Negatif
lapor pajak aplikasi eror mulu lapor pajak denda perintah nya bikin susah,Negatif
buka langsung error login error pakai lapor,Negatif
bantu wajib pajak,Positif
download aplikasi eror mulu lapor spttolong baik,Negatif
error mulu,Negatif
parah aplikasi bantu mudah biaya buang siasia,Negatif
ok mantap,Positif
kurang,Negatif
kualitas perintah bikin aplikasih aplikasih om kualitas miris,Negatif
sbetulnya heran suruh update playstore tulis update whyyy heran rasa,Negatif
aplikasi nya eror kesel,Negatif
error force close input otp error parah2,Negatif
aplikasi tolol mudah,Negatif
parah bayar pajak sulit aplikasi masuk eroorr parah,Negatif
ok,Positif
bobrok dar aplikasi uang anggar manfaat tarik ppn 12 pph 21 masyarakat cekik bos bijak laksana wajib pajak timbang,Negatif
crash hancur,Negatif
ealah install langsung error perintah perintah mana tuh uang pajak,Negatif
aplikasi tolol banget,Negatif
aplikasi,Negatif
buka langsung tutup aplikasi,Negatif
parah kelas aplikasi perintah pusat error,Negatif
lupa efin verifikasi,Negatif
aplikasi error aplikasi error mudah,Negatif
appnya buka tulis fatal error js function suruh update pas cek tulis update,Negatif
bantu,Positif
benerin aplikasi rakyat suruh bayar pajak aplikasi busuk tahi dibenerin buka camera errornya cuman senang narikin pajak rakyat klean,Negatif
orang 2738jt duduk indonesia rating 1 aplikasi sayang rating 0 pilih 0,Negatif
,Negatif
parah monyet,Negatif
aplikasi cacat restart,Negatif
aplikasi gakbisa buka,Negatif
aplikasi buruk website aplikasi sajabukan nya mebg update baik kualitas guna kembang,Negatif
error pas verifikasi wajah kacau,Negatif
link aktivasinya terima coba berkalikali link masuk email daftar,Negatif
dapat efin eror data,Negatif
hadehh nya mudah hidup sulit app 12124 lagilagi kecewa app sih suka orang darah niat perintah baik kualitas app nya bagus eror makan gaji buta suruh bayar pajak app nya banget kualitas,Negatif
aneh lapor pajak website sulit kesalawan kalo niat bikin website aplikasi mending ribett banget lapor sulitt malas lapor pajak orang ribett nya ampun,Negatif
asli download suruh update apasih update 5 jam tunggu loading,Negatif
viralin biar perintah benah omong doang aplikasi error,Negatif
updaten baru samsunga33 indak,Positif
soksokan digitalisasi bikin aplikasi pajak buang aplikasi siasia,Negatif
kecewa layan,Negatif
ribet lihat online kantor pajak lihat pajak rumah taat pajak aplikasi bobrok,Negatif
aplikasi pajak cacat apalikasi,Negatif
sih aplikasi mala closing daftarin jugakalau bantu mending diadainnambah ribet ajangeselin,Negatif
aplikasi susah bikin geram baik,Negatif
live pajak 1500200 coba bantu,Negatif
perintah guna rakyat berat susah aplikasi sampah becus terima masuk rakyat negara hancur rusak pimpin orang asal,Negatif
aplikasi sih download suruh update banget updatenya selesaiselesai hadeh taat pajak alur susah banget properti dukung,Negatif
optimal ya aplikasi nya developer tahap kirim verifikasi kunjung email nyangkut mana developer,Negatif
kembang pegang biar milenial urus teknologi bobrok,Negatif
download aplikasi bantu,Negatif
apa pilih menupertanyaan ngaarah otomatis lupa efindan tunggu luama banget begini2 susah kalo pas mungut pajak cepat,Negatif
kode verikfikasi kirim kirim email sms cek spam masuk pulsa nomor 0 ulang 2 kali kirim,Negatif
heran aplikasi perintah naik pajak kualitas aplikasi kayak aplikasi scam rekrut orang psikotes doang aplikasi formalitas mudah layan tolong rubah kerja,Negatif
aplikasi bantu mau nihdi chatkring email kagak balas,Negatif
coba,Positif
npwp daftar nya astagfirullah heran masyrakat main slot gampang daftaf slot daripda npwp,Negatif
oke,Positif
lupa efin susah dapetnya lagisudahmasukin data sesuai npwp ya verif gagal parah apk nyabuang buang kuota,Negatif
mantap,Positif
aplikasi busuk ku install,Negatif
aplikasi error buka,Negatif
lot,Negatif
bayar pajak sulit pakai provide tri axis sekala negara deh appnya pencet daftar,Negatif
aplikasi bagus,Negatif
bug bug,Negatif
aplikasi bantu kesel tolol developmentnya sruh update error playstore updatenya sih aplikasi tolol,Negatif
sumpah aplikasi perintah masuk masuk verifikasi gagal signal bagus data teliti seksama gagal aneh cipta aplikasi online sistimnya hapus perintah ribet warga nya mudah,Negatif
burik,Negatif
buka susah nau bantu bayar pajak apk,Negatif
aplikasi sesat mending hapus,Negatif
aplikasi nya bobrokk niat apk,Negatif
aplikasi pajak lapor pajak tugas online aplikasi hah aplikasi mudah lucu anggar oh anggar,Negatif
aplikasi banget eror mulu,Negatif
enggak jelas banget aplikasi eror mulu,Negatif
pakai error aplikasi payah,Negatif
lapor lupa efin kode konfirmasi aneh,Negatif
buka,Negatif
bayar pajak bikin npwp online susah nya ampun heran aplikasi perintah,Negatif
bikin aplikasi kalo kantor djp,Negatif
bantu layan 1500200 bantu pulsa habis 50rb sibuk doang trmksh,Negatif
baik,Negatif
mohon baik aplikasi kelas instansi perintah masuk login bisa2 kacau,Negatif
apk tahi,Negatif
download baru apk kacau,Negatif
aplikasi guna lupa ifin salah nama camat kota sesuai ktp hapus aplikasi ya play store,Negatif
enggak jelas,Negatif
erorr ngerestar mulu tolong tingkat,Negatif
,Negatif
mau apk mudah sulit,Negatif
ebusseet apk kayak kntl,Negatif
aplikasi bagus buka apa susah signal bagus apk bikin pusing,Negatif
aplikasi tahi bayar pajak susah kode efin susah lapor pajak,Negatif
tingkat,Positif
eror,Negatif
lupa efin bayar pajakribet nya ampunini bayar ngutang ribet yahadeh aplikasi jelek,Negatif
dukung,Positif
sulit masuk ya eror,Negatif
kwalitasnya guna samasekali,Negatif
bantu,Positif
mutakhir npwp mandiri serungkad aplikasi,Negatif
aplikasi inibuat tanya susahribet,Negatif
aplikasi kompatibel tablet kah,Positif
install apk hp memyarankan tutup apl,Negatif
aga lot ya,Positif
hati hati aplikasi bahaya,Negatif
pajak bayar hasil nya bikin aplikasi cacat,Negatif
capek npwn online kayak ribet banget kadang kode otpnya sesuai pas validasi kadang pas kode verifikasi banget pakai pulsa sedot capek online,Negatif
aplikasi bikin dosa,Negatif
daftar efin kantor sistem online,Negatif
aplikasi apaini update buka bikin aplikasi bah muak kali aplikasi,Negatif
aplikasi sampah,Negatif
aplikasi login susah,Negatif
lupe efin buka email lihat otp pas aplikasi,Negatif
aplikasi sampah kayak apafitur live chat verifikasi stuck kapai aplikasi kalo mudah penggunaurusan pajak pelak kayak urus bikin krupuk,Negatif
susah otpnya pulsa layang layang,Negatif
orang pengin tertib bayar pajak mudah pasti apk kendala laku survey masyarakat baharu lupa efin kendala ya aplikasi lambat signal kencang verifikasi masuk masuk no telpon moga mudah evaluasi,Negatif
sih developer nya freetext camat lurah kab kota sebab verifikasi gagal wkwkw,Negatif
ok,Positif
kudu kantor pajak,Negatif
good,Negatif
bantu aplikasi alami crash baik kembang kait,Negatif
aplikasi efin masuk baik,Positif
eror,Negatif
aplikasi,Negatif
banyak loading nih aplikasi kalo biaya mahal hasil nyata murah korup,Negatif
masuk no npwp password salah mulu ubah password typ salah pas login,Negatif
pakai aplikasi lapor bikin ribet,Negatif
apk tolol vrfksi bisa,Negatif
aplikasi guna sesuai gagal,Negatif
aplikasi payah taat lapor pajak kalo sistem parah,Negatif
buruk,Negatif
pas verifikasi wajah for close mulu hedeh,Negatif
aplikasi bawah naung perintah kualitas ckckck heran buka apps eror buka live chat pajak jaring bagus sinyal oke tibatiba chat buka loh ckckck aplikasi guna,Negatif
aplikasi hao hao kelas kelola pajak negara becus ngelola aplikasi butuh masyarakat masyarakat bayar pajak fasilitas rumit susah masyarakat banyakpadahal rakyat bayar pajakkalian suruh lapor lapor susah,Negatif
daftar sulit pulsa habis otp,Negatif
